FIPS,county,state,year,total_vote,dem_vote,rep_vote
1043,Cullman,AL,2004,35191,8045,26818
1043,Cullman,AL,2008,35305,5864,28896
1043,Cullman,AL,2012,34555,5052,28999
1043,Cullman,AL,2016,37873,3798,32989
1043,Cullman,AL,2020,41851,4478,36880
1045,Dale,AL,1960,4218,2563,1634
1045,Dale,AL,1964,5933,0,4970
1045,Dale,AL,1968,9705,862,607
1045,Dale,AL,1972,10038,1594,8346
1045,Dale,AL,1976,11531,6346,4996
1045,Dale,AL,1980,12573,4936,7247
1045,Dale,AL,1984,13692,3215,10319
1045,Dale,AL,1988,12905,3476,9266
1045,Dale,AL,1992,15787,5098,8123
1045,Dale,AL,1996,14330,4732,8288
1045,Dale,AL,2000,15806,4906,10593
1045,Dale,AL,2004,18231,4484,13621
1045,Dale,AL,2008,19320,5270,13886
1045,Dale,AL,2012,18601,5286,13108
1045,Dale,AL,2016,18749,4413,13808
1045,Dale,AL,2020,19738,5170,14303
1047,Dallas,AL,1960,5044,2103,2872
1047,Dallas,AL,1964,6607,0,5888
1047,Dallas,AL,1968,16636,6516,1246
1047,Dallas,AL,1972,14280,5427,8644
1047,Dallas,AL,1976,16361,8866,7144
1047,Dallas,AL,1980,18147,9770,7647
1047,Dallas,AL,1984,20718,10955,9585
1047,Dallas,AL,1988,17423,9660,7630
1047,Dallas,AL,1992,19604,11053,7394
1047,Dallas,AL,1996,17654,10507,6612
1047,Dallas,AL,2000,18464,10967,7360
1047,Dallas,AL,2004,18573,11175,7335
1047,Dallas,AL,2008,20852,13986,6798
1047,Dallas,AL,2012,20964,14612,6288
1047,Dallas,AL,2016,18792,12836,5789
1047,Dallas,AL,2020,17864,12230,5524
1049,De Kalb,AL,1960,11441,5844,5585
1049,De Kalb,AL,1964,11694,0,6746
1049,De Kalb,AL,1968,14859,1274,5314
1049,De Kalb,AL,1972,13237,3759,9434
1049,De Kalb,AL,1976,16437,9759,6597
1049,De Kalb,AL,1980,18690,8820,9673
1049,De Kalb,AL,1984,19349,7212,12098
1049,De Kalb,AL,1988,18940,7333,11478
1049,De Kalb,AL,1992,21585,8245,10519
1049,De Kalb,AL,1996,18143,6544,9823
1049,De Kalb,AL,2000,20285,7056,12827
1049,De Kalb,AL,2004,24169,7092,16904
1049,De Kalb,AL,2008,24015,5658,17957
1049,De Kalb,AL,2012,23950,5239,18331
1049,De Kalb,AL,2016,25826,3622,21405
1049,De Kalb,AL,2020,29356,4281,24767
1051,Elmore,AL,1960,5409,3440,1919
1051,Elmore,AL,1964,7596,0,6363
1051,Elmore,AL,1968,11812,1745,801
1051,Elmore,AL,1972,10590,1891,8461
1051,Elmore,AL,1976,13508,6646,6551
1051,Elmore,AL,1980,15190,5947,8688
1051,Elmore,AL,1984,16077,4198,11694
1051,Elmore,AL,1988,15539,4501,10852
1051,Elmore,AL,1992,20388,6223,11356
1051,Elmore,AL,1996,20946,6530,12937
1051,Elmore,AL,2000,23804,6652,16777
1051,Elmore,AL,2004,28680,6471,22056
1051,Elmore,AL,2008,34315,8301,25777
1051,Elmore,AL,2012,35546,8954,26253
1051,Elmore,AL,2016,37260,8443,27634
1051,Elmore,AL,2020,41030,10367,30164
1053,Escambia,AL,1960,5905,3990,1810
1053,Escambia,AL,1964,7551,0,5623
1053,Escambia,AL,1968,10765,1492,680
1053,Escambia,AL,1972,9591,1598,7883
1053,Escambia,AL,1976,11157,5957,4934
1053,Escambia,AL,1980,12053,5148,6513
1053,Escambia,AL,1984,12724,3853,8694
1053,Escambia,AL,1988,10954,4020,6807
1053,Escambia,AL,1992,12824,4809,5955
1053,Escambia,AL,1996,11104,4651,5214
1053,Escambia,AL,2000,11660,4523,6975
1053,Escambia,AL,2004,12395,3814,8513
1053,Escambia,AL,2008,14674,5188,9375
1053,Escambia,AL,2012,14894,5489,9287
1053,Escambia,AL,2016,14845,4605,9935
1053,Escambia,AL,2020,15910,4918,10869
1055,Etowah,AL,1960,21685,14372,7128
1055,Etowah,AL,1964,21833,0,12894
1055,Etowah,AL,1968,31186,4613,4351
1055,Etowah,AL,1972,28581,7372,20851
1055,Etowah,AL,1976,35750,25020,10333
1055,Etowah,AL,1980,37806,20790,16177
1055,Etowah,AL,1984,38781,19074,19243
1055,Etowah,AL,1988,35891,17762,17828
1055,Etowah,AL,1992,42451,20558,17467
1055,Etowah,AL,1996,37561,17976,16835
1055,Etowah,AL,2000,39348,17433,21087
1055,Etowah,AL,2004,42680,15328,26999
1055,Etowah,AL,2008,44737,13497,30595
1055,Etowah,AL,2012,42624,12803,29130
