,姓名,性别,民族,出生日期(YYYY-MM-DD),籍贯省,籍贯市,籍贯县/区,最高学历,党派信息,现状,军队,开除党籍,查处/罢黜原因,查处/罢黜原因备注,是否复出,查处/罢黜时间,最初查处单位,是否起诉,起诉罪名,涉案金额,一审时间,审理地点（一级地区关键词）,审理地点（二级地区关键词）,一审判决,是否上诉,二审时间,二审判决
175,宋洪武,男,汉族,1952/4/1,河南省,安阳市,滑县,硕士,1983/12/1,在职,,,,,,,,,,,,,,,,,
176,王忠民,男,汉族,1957/10/1,陕西省,渭南市,蒲城县,博士后,1985/4/1,在职,,,,,,,,,,,,,,,,,
177,王登记,男,汉族,1954/11/1,陕西省,延安市,黄陵县,专科,1975/2/1,立案查处,,是,贪污腐败,,否,2014/10/28,中纪委,是,受贿罪,人民币6624万元,2016/10/17,河北省,廊坊市,无期徒刑,否,,
178,胡志强,男,汉族,1963/10/1,山西省,长治市,,硕士,1985/12/1,在职,,,,,,,,,,,,,,,,,
179,李金柱,男,汉族,1955/2/1,河北省,沧州市,,硕士,1976/5/1,在职,,,,,,,,,,,,,,,,,
180,周一波,男,汉族,1953/12/1,陕西省,商洛市,丹凤县,硕士,1977/3/1,退休,,,,,,,,,,,,,,,,,
181,郭永平,男,汉族,1954/2/1,陕西省,汉中市,勉县,硕士,1975/6/1,在职,,,,,,,,,,,,,,,,,
182,陆治原,男,汉族,1964/8/1,陕西省,榆林市,绥德县,博士,1987/11/1,在职,,,,,,,,,,,,,,,,,
183,胡润泽,男,汉族,1958/12/1,陕西省,安康市,岚皋县,硕士,1980/9/1,在职,,,,,,,,,,,,,,,,,
184,赵乐秦,男,汉族,1960/1/1,陕西省,西安市,,硕士,1983/11/1,在职,,,,,,,,,,,,,,,,,
185,张会民,男,汉族,1955/4/1,陕西省,渭南市,蒲城县,硕士,1975/1/1,在职,,,,,,,,,,,,,,,,,
186,田杰,男,汉族,1958/1/1,天津市,,,硕士,1983/10/1,退休,,,,,,,,,,,,,,,,,
187,王成文,男,汉族,1957/12/1,陕西省,渭南市,澄城县,硕士,1976/4/1,在职,,,,,,,,,,,,,,,,,
188,胡悦,男,汉族,1954/5/1,陕西省,铜川市,耀县,硕士,1972/5/1,在职,,,,,,,,,,,,,,,,,
189,张社年,男,汉族,1956/11/1,陕西省,渭南市,合阳县,硕士,,在职,,,,,,,,,,,,,,,,,
190,陈强(河南省),男,汉族,1957/12/1,河南省,焦作市,孟县,硕士,1977/10/1,在职,,,,,,,,,,,,,,,,,
